Sample in Buffer	Sample in Window	addra_0	douta_0m	douta_1m	douta_2m	douta_3m	douta_4m	douta_5m	douta_6m	douta_7m
59	59	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
60	60	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
61	61	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
62	62	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
63	63	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
64	64	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
65	65	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
66	66	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
67	67	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
68	68	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
69	69	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
70	70	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
71	71	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
72	72	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
73	73	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
74	74	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
75	75	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
76	76	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
77	77	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
78	78	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
79	79	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
80	80	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
81	81	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
82	82	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
83	83	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
84	84	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
85	85	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
86	86	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
87	87	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
88	88	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
89	89	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
90	90	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
91	91	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
92	92	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
93	93	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
94	94	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
95	95	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
96	96	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
97	97	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
98	98	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
99	99	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
100	100	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
101	101	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
102	102	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
103	103	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
104	104	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
105	105	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
106	106	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
107	107	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
108	108	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
109	109	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
110	110	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
111	111	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
112	112	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
113	113	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
114	114	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
115	115	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
